[10:07:40] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[10:07:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:07:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:07:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[10:07:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[10:07:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[10:07:41] [ServerMain/INFO]: Reloading ResourceManager: Default
[10:07:44] [Worker-Main-4/INFO]: Loaded 7 recipes
[10:07:46] [Worker-Main-4/INFO]: Loaded 1141 advancements
[10:07:53] [Server thread/INFO]: Starting minecraft server version 1.18.1
[10:07:53] [Server thread/INFO]: Loading properties
[10:07:53] [Server thread/INFO]: Default game type: SURVIVAL
[10:07:53] [Server thread/INFO]: Generating keypair
[10:07:53] [Server thread/INFO]: Starting Minecraft server on *:25565
[10:07:54] [Server thread/INFO]: Using default channel type
[10:07:55] [Server thread/INFO]: Preparing level "world"
[10:07:55] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[10:07:59] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:07:59] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:07:59] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:07:59] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:07:59] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:07:59] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:00] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:08:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:08:00] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:08:00] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:12] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:13] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[10:08:13] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[10:08:14] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:14] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[10:08:15] [Worker-Main-6/INFO]: Preparing spawn area: 2%
[10:08:15] [Worker-Main-6/INFO]: Preparing spawn area: 4%
[10:08:16] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[10:08:16] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[10:08:17] [Worker-Main-4/INFO]: Preparing spawn area: 12%
[10:08:17] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[10:08:18] [Worker-Main-5/INFO]: Preparing spawn area: 16%
[10:08:18] [Worker-Main-5/INFO]: Preparing spawn area: 19%
[10:08:19] [Worker-Main-6/INFO]: Preparing spawn area: 22%
[10:08:20] [Worker-Main-4/INFO]: Preparing spawn area: 22%
[10:08:20] [Worker-Main-5/INFO]: Preparing spawn area: 22%
[10:08:20] [Worker-Main-5/INFO]: Preparing spawn area: 27%
[10:08:21] [Worker-Main-4/INFO]: Preparing spawn area: 34%
[10:08:21] [Worker-Main-6/INFO]: Preparing spawn area: 34%
[10:08:22] [Worker-Main-4/INFO]: Preparing spawn area: 42%
[10:08:22] [Worker-Main-5/INFO]: Preparing spawn area: 46%
[10:08:23] [Worker-Main-5/INFO]: Preparing spawn area: 50%
[10:08:23] [Worker-Main-4/INFO]: Preparing spawn area: 54%
